combination_id,evidence_class,change_scope,intervention_locus,change_operator,combination_status,structural_default_priority,rule_ids,decision_reason,release_or_next_step
N-107,N,COMPONENT,INFERENCE,MERGE,VALID,GOLD,S-COMPONENT;M-INFERENCE-MERGE,组件级删除/合并具有高可归因性和精简价值；优先验证，但只有分支删除可使用 0.5 pp 精简额度。,通过全局证据、公平性和可证伪硬门后优先运行；实验结果仍按 Research Base 晋升规则处理。
N-108,N,COMPONENT,INFERENCE,SPLIT,VALID,SILVER,S-COMPONENT;M-INFERENCE-SPLIT,拆分提高结构或执行复杂度，只有在假设清晰且不形成分支膨胀时才运行。,通过全局硬门后进入普通执行队列；不得因 Silver 降低实验记录与公平比较要求。
N-109,N,PROTOCOL,SYSTEM,ADD,VALID,HOLD,S-PROTOCOL;H-SYSTEM-ADD,新增系统级协议容易形成第二套评测或训练口径，必须先证明不会改变 Benchmark。,证明 Benchmark、预算和评估脚本保持不变，再重新评为 Silver。
N-110,N,PROTOCOL,SYSTEM,REPLACE,VALID,SILVER,S-PROTOCOL;C-SILVER,协议级候选可运行，但最高为 Silver；必须保持数据划分、指标、预算和评估脚本不变。,通过全局硬门后进入普通执行队列；不得因 Silver 降低实验记录与公平比较要求。
N-111,N,PROTOCOL,SYSTEM,DELETE,VALID,SILVER,S-PROTOCOL;C-SILVER,协议级候选可运行，但最高为 Silver；必须保持数据划分、指标、预算和评估脚本不变。,通过全局硬门后进入普通执行队列；不得因 Silver 降低实验记录与公平比较要求。
N-112,N,PROTOCOL,SYSTEM,REWIRE,VALID,SILVER,S-PROTOCOL;C-SILVER,协议级候选可运行，但最高为 Silver；必须保持数据划分、指标、预算和评估脚本不变。,通过全局硬门后进入普通执行队列；不得因 Silver 降低实验记录与公平比较要求。
N-113,N,PROTOCOL,SYSTEM,MERGE,VALID,SILVER,S-PROTOCOL;C-SILVER,协议级候选可运行，但最高为 Silver；必须保持数据划分、指标、预算和评估脚本不变。,通过全局硬门后进入普通执行队列；不得因 Silver 降低实验记录与公平比较要求。
N-114,N,PROTOCOL,SYSTEM,SPLIT,VALID,HOLD,S-PROTOCOL;H-PROTOCOL-SPLIT,协议拆分会增加比较口径或执行路径，必须先证明 Benchmark 仍唯一且可比。,证明 Benchmark、预算和评估脚本保持不变，再重新评为 Silver。
N-115,N,PROTOCOL,DATA,ADD,VALID,HOLD,S-PROTOCOL;H-DATA-CONTRACT,任何数据协议操作都可能改变固定划分、样本边界或标签口径，先证明 Benchmark 未变。,证明 Benchmark、预算和评估脚本保持不变，再重新评为 Silver。
N-116,N,PROTOCOL,DATA,REPLACE,VALID,HOLD,S-PROTOCOL;H-DATA-CONTRACT,任何数据协议操作都可能改变固定划分、样本边界或标签口径，先证明 Benchmark 未变。,证明 Benchmark、预算和评估脚本保持不变，再重新评为 Silver。
N-117,N,PROTOCOL,DATA,DELETE,VALID,HOLD,S-PROTOCOL;H-DATA-CONTRACT,任何数据协议操作都可能改变固定划分、样本边界或标签口径，先证明 Benchmark 未变。,证明 Benchmark、预算和评估脚本保持不变，再重新评为 Silver。
N-118,N,PROTOCOL,DATA,REWIRE,VALID,HOLD,S-PROTOCOL;H-DATA-CONTRACT,任何数据协议操作都可能改变固定划分、样本边界或标签口径，先证明 Benchmark 未变。,证明 Benchmark、预算和评估脚本保持不变，再重新评为 Silver。
N-119,N,PROTOCOL,DATA,MERGE,VALID,HOLD,S-PROTOCOL;H-DATA-CONTRACT,任何数据协议操作都可能改变固定划分、样本边界或标签口径，先证明 Benchmark 未变。,证明 Benchmark、预算和评估脚本保持不变，再重新评为 Silver。
N-120,N,PROTOCOL,DATA,SPLIT,VALID,HOLD,S-PROTOCOL;H-DATA-CONTRACT,任何数据协议操作都可能改变固定划分、样本边界或标签口径，先证明 Benchmark 未变。,证明 Benchmark、预算和评估脚本保持不变，再重新评为 Silver。
N-121,N,PROTOCOL,FEATURE,ADD,INVALID,INVALID,V-SCOPE-LOCUS-02,协议级改动只能落在全系统协议、数据协议、优化协议或推理协议；模型内部结构应归为组件级。,重新填写互相一致的 Change Scope 与 Intervention Locus。
N-122,N,PROTOCOL,FEATURE,REPLACE,INVALID,INVALID,V-SCOPE-LOCUS-02,协议级改动只能落在全系统协议、数据协议、优化协议或推理协议；模型内部结构应归为组件级。,重新填写互相一致的 Change Scope 与 Intervention Locus。
N-123,N,PROTOCOL,FEATURE,DELETE,INVALID,INVALID,V-SCOPE-LOCUS-02,协议级改动只能落在全系统协议、数据协议、优化协议或推理协议；模型内部结构应归为组件级。,重新填写互相一致的 Change Scope 与 Intervention Locus。
N-124,N,PROTOCOL,FEATURE,REWIRE,INVALID,INVALID,V-SCOPE-LOCUS-02,协议级改动只能落在全系统协议、数据协议、优化协议或推理协议；模型内部结构应归为组件级。,重新填写互相一致的 Change Scope 与 Intervention Locus。
N-125,N,PROTOCOL,FEATURE,MERGE,INVALID,INVALID,V-SCOPE-LOCUS-02,协议级改动只能落在全系统协议、数据协议、优化协议或推理协议；模型内部结构应归为组件级。,重新填写互相一致的 Change Scope 与 Intervention Locus。
N-126,N,PROTOCOL,FEATURE,SPLIT,INVALID,INVALID,V-SCOPE-LOCUS-02,协议级改动只能落在全系统协议、数据协议、优化协议或推理协议；模型内部结构应归为组件级。,重新填写互相一致的 Change Scope 与 Intervention Locus。
N-127,N,PROTOCOL,BACKBONE,ADD,INVALID,INVALID,V-SCOPE-LOCUS-02,协议级改动只能落在全系统协议、数据协议、优化协议或推理协议；模型内部结构应归为组件级。,重新填写互相一致的 Change Scope 与 Intervention Locus。
N-128,N,PROTOCOL,BACKBONE,REPLACE,INVALID,INVALID,V-SCOPE-LOCUS-02,协议级改动只能落在全系统协议、数据协议、优化协议或推理协议；模型内部结构应归为组件级。,重新填写互相一致的 Change Scope 与 Intervention Locus。
N-129,N,PROTOCOL,BACKBONE,DELETE,INVALID,INVALID,V-SCOPE-LOCUS-02,协议级改动只能落在全系统协议、数据协议、优化协议或推理协议；模型内部结构应归为组件级。,重新填写互相一致的 Change Scope 与 Intervention Locus。
N-130,N,PROTOCOL,BACKBONE,REWIRE,INVALID,INVALID,V-SCOPE-LOCUS-02,协议级改动只能落在全系统协议、数据协议、优化协议或推理协议；模型内部结构应归为组件级。,重新填写互相一致的 Change Scope 与 Intervention Locus。
N-131,N,PROTOCOL,BACKBONE,MERGE,INVALID,INVALID,V-SCOPE-LOCUS-02,协议级改动只能落在全系统协议、数据协议、优化协议或推理协议；模型内部结构应归为组件级。,重新填写互相一致的 Change Scope 与 Intervention Locus。
N-132,N,PROTOCOL,BACKBONE,SPLIT,INVALID,INVALID,V-SCOPE-LOCUS-02,协议级改动只能落在全系统协议、数据协议、优化协议或推理协议；模型内部结构应归为组件级。,重新填写互相一致的 Change Scope 与 Intervention Locus。
N-133,N,PROTOCOL,COMPONENT,ADD,INVALID,INVALID,V-SCOPE-LOCUS-02,协议级改动只能落在全系统协议、数据协议、优化协议或推理协议；模型内部结构应归为组件级。,重新填写互相一致的 Change Scope 与 Intervention Locus。
N-134,N,PROTOCOL,COMPONENT,REPLACE,INVALID,INVALID,V-SCOPE-LOCUS-02,协议级改动只能落在全系统协议、数据协议、优化协议或推理协议；模型内部结构应归为组件级。,重新填写互相一致的 Change Scope 与 Intervention Locus。
N-135,N,PROTOCOL,COMPONENT,DELETE,INVALID,INVALID,V-SCOPE-LOCUS-02,协议级改动只能落在全系统协议、数据协议、优化协议或推理协议；模型内部结构应归为组件级。,重新填写互相一致的 Change Scope 与 Intervention Locus。
N-136,N,PROTOCOL,COMPONENT,REWIRE,INVALID,INVALID,V-SCOPE-LOCUS-02,协议级改动只能落在全系统协议、数据协议、优化协议或推理协议；模型内部结构应归为组件级。,重新填写互相一致的 Change Scope 与 Intervention Locus。
N-137,N,PROTOCOL,COMPONENT,MERGE,INVALID,INVALID,V-SCOPE-LOCUS-02,协议级改动只能落在全系统协议、数据协议、优化协议或推理协议；模型内部结构应归为组件级。,重新填写互相一致的 Change Scope 与 Intervention Locus。
N-138,N,PROTOCOL,COMPONENT,SPLIT,INVALID,INVALID,V-SCOPE-LOCUS-02,协议级改动只能落在全系统协议、数据协议、优化协议或推理协议；模型内部结构应归为组件级。,重新填写互相一致的 Change Scope 与 Intervention Locus。
N-139,N,PROTOCOL,BRANCH,ADD,INVALID,INVALID,V-SCOPE-LOCUS-02,协议级改动只能落在全系统协议、数据协议、优化协议或推理协议；模型内部结构应归为组件级。,重新填写互相一致的 Change Scope 与 Intervention Locus。
N-140,N,PROTOCOL,BRANCH,REPLACE,INVALID,INVALID,V-SCOPE-LOCUS-02,协议级改动只能落在全系统协议、数据协议、优化协议或推理协议；模型内部结构应归为组件级。,重新填写互相一致的 Change Scope 与 Intervention Locus。
N-141,N,PROTOCOL,BRANCH,DELETE,INVALID,INVALID,V-SCOPE-LOCUS-02,协议级改动只能落在全系统协议、数据协议、优化协议或推理协议；模型内部结构应归为组件级。,重新填写互相一致的 Change Scope 与 Intervention Locus。
N-142,N,PROTOCOL,BRANCH,REWIRE,INVALID,INVALID,V-SCOPE-LOCUS-02,协议级改动只能落在全系统协议、数据协议、优化协议或推理协议；模型内部结构应归为组件级。,重新填写互相一致的 Change Scope 与 Intervention Locus。
N-143,N,PROTOCOL,BRANCH,MERGE,INVALID,INVALID,V-SCOPE-LOCUS-02,协议级改动只能落在全系统协议、数据协议、优化协议或推理协议；模型内部结构应归为组件级。,重新填写互相一致的 Change Scope 与 Intervention Locus。
N-144,N,PROTOCOL,BRANCH,SPLIT,INVALID,INVALID,V-SCOPE-LOCUS-02,协议级改动只能落在全系统协议、数据协议、优化协议或推理协议；模型内部结构应归为组件级。,重新填写互相一致的 Change Scope 与 Intervention Locus。
N-145,N,PROTOCOL,LOSS,ADD,INVALID,INVALID,V-SCOPE-LOCUS-02,协议级改动只能落在全系统协议、数据协议、优化协议或推理协议；模型内部结构应归为组件级。,重新填写互相一致的 Change Scope 与 Intervention Locus。
N-146,N,PROTOCOL,LOSS,REPLACE,INVALID,INVALID,V-SCOPE-LOCUS-02,协议级改动只能落在全系统协议、数据协议、优化协议或推理协议；模型内部结构应归为组件级。,重新填写互相一致的 Change Scope 与 Intervention Locus。
N-147,N,PROTOCOL,LOSS,DELETE,INVALID,INVALID,V-SCOPE-LOCUS-02,协议级改动只能落在全系统协议、数据协议、优化协议或推理协议；模型内部结构应归为组件级。,重新填写互相一致的 Change Scope 与 Intervention Locus。
N-148,N,PROTOCOL,LOSS,REWIRE,INVALID,INVALID,V-SCOPE-LOCUS-02,协议级改动只能落在全系统协议、数据协议、优化协议或推理协议；模型内部结构应归为组件级。,重新填写互相一致的 Change Scope 与 Intervention Locus。
N-149,N,PROTOCOL,LOSS,MERGE,INVALID,INVALID,V-SCOPE-LOCUS-02,协议级改动只能落在全系统协议、数据协议、优化协议或推理协议；模型内部结构应归为组件级。,重新填写互相一致的 Change Scope 与 Intervention Locus。
N-150,N,PROTOCOL,LOSS,SPLIT,INVALID,INVALID,V-SCOPE-LOCUS-02,协议级改动只能落在全系统协议、数据协议、优化协议或推理协议；模型内部结构应归为组件级。,重新填写互相一致的 Change Scope 与 Intervention Locus。
N-151,N,PROTOCOL,OPTIMIZATION,ADD,VALID,SILVER,S-PROTOCOL;C-SILVER,协议级候选可运行，但最高为 Silver；必须保持数据划分、指标、预算和评估脚本不变。,通过全局硬门后进入普通执行队列；不得因 Silver 降低实验记录与公平比较要求。
N-152,N,PROTOCOL,OPTIMIZATION,REPLACE,VALID,SILVER,S-PROTOCOL;C-SILVER,协议级候选可运行，但最高为 Silver；必须保持数据划分、指标、预算和评估脚本不变。,通过全局硬门后进入普通执行队列；不得因 Silver 降低实验记录与公平比较要求。
N-153,N,PROTOCOL,OPTIMIZATION,DELETE,VALID,SILVER,S-PROTOCOL;C-SILVER,协议级候选可运行，但最高为 Silver；必须保持数据划分、指标、预算和评估脚本不变。,通过全局硬门后进入普通执行队列；不得因 Silver 降低实验记录与公平比较要求。
N-154,N,PROTOCOL,OPTIMIZATION,REWIRE,VALID,SILVER,S-PROTOCOL;C-SILVER,协议级候选可运行，但最高为 Silver；必须保持数据划分、指标、预算和评估脚本不变。,通过全局硬门后进入普通执行队列；不得因 Silver 降低实验记录与公平比较要求。
N-155,N,PROTOCOL,OPTIMIZATION,MERGE,VALID,SILVER,S-PROTOCOL;C-SILVER,协议级候选可运行，但最高为 Silver；必须保持数据划分、指标、预算和评估脚本不变。,通过全局硬门后进入普通执行队列；不得因 Silver 降低实验记录与公平比较要求。
N-156,N,PROTOCOL,OPTIMIZATION,SPLIT,VALID,HOLD,S-PROTOCOL;H-PROTOCOL-SPLIT,协议拆分会增加比较口径或执行路径，必须先证明 Benchmark 仍唯一且可比。,证明 Benchmark、预算和评估脚本保持不变，再重新评为 Silver。
N-157,N,PROTOCOL,INFERENCE,ADD,VALID,SILVER,S-PROTOCOL;C-SILVER,协议级候选可运行，但最高为 Silver；必须保持数据划分、指标、预算和评估脚本不变。,通过全局硬门后进入普通执行队列；不得因 Silver 降低实验记录与公平比较要求。
N-158,N,PROTOCOL,INFERENCE,REPLACE,VALID,SILVER,S-PROTOCOL;C-SILVER,协议级候选可运行，但最高为 Silver；必须保持数据划分、指标、预算和评估脚本不变。,通过全局硬门后进入普通执行队列；不得因 Silver 降低实验记录与公平比较要求。
N-159,N,PROTOCOL,INFERENCE,DELETE,VALID,SILVER,S-PROTOCOL;C-SILVER,协议级候选可运行，但最高为 Silver；必须保持数据划分、指标、预算和评估脚本不变。,通过全局硬门后进入普通执行队列；不得因 Silver 降低实验记录与公平比较要求。
N-160,N,PROTOCOL,INFERENCE,REWIRE,VALID,SILVER,S-PROTOCOL;C-SILVER,协议级候选可运行，但最高为 Silver；必须保持数据划分、指标、预算和评估脚本不变。,通过全局硬门后进入普通执行队列；不得因 Silver 降低实验记录与公平比较要求。
N-161,N,PROTOCOL,INFERENCE,MERGE,VALID,SILVER,S-PROTOCOL;C-SILVER,协议级候选可运行，但最高为 Silver；必须保持数据划分、指标、预算和评估脚本不变。,通过全局硬门后进入普通执行队列；不得因 Silver 降低实验记录与公平比较要求。
N-162,N,PROTOCOL,INFERENCE,SPLIT,VALID,HOLD,S-PROTOCOL;H-PROTOCOL-SPLIT,协议拆分会增加比较口径或执行路径，必须先证明 Benchmark 仍唯一且可比。,证明 Benchmark、预算和评估脚本保持不变，再重新评为 Silver。
